Название|Остаток|Бренд|Описание|Артикул|Цена|Старая цена|Категория
iphone|150|iphone|description|art1|129.46|148.29|phone
Samsung|150||Samsung descr||133.0|148.29|phone
product 1|23||||11.0|13.2|category 1
product 2|23||||24.0|26.4|category 1-1
product 3|23||||64.82|60.5|category 2
товар с импорта 1|1|самуснг|дескрипшн|вендор код|150.0|180.0|category 2;с импорта
товар с импорта 2|1|самуснг|дескрипшн|вендор код|160.0|190.0|с импорта;с импорта new
товар с импорта 3|0|самуснг|дескрипшн|вендор код|170.0|200.0|с импорта
товар с импорта 4|0|самуснг|дескрипшн|вендор код|180.0|210.0|с импорта
товар с импорта 5|0|самуснг|дескрипшн|вендор код|190.0|220.0|с импорта
товар с импорта 6|0|самуснг|дескрипшн|вендор код|200.0|230.0|с импорта
товар с импорта 7|0|самуснг|дескрипшн|вендор код|210.0|250.0|с импорта
товар с импорта 8|0|самуснг|дескрипшн|вендор код|220.0|260.0|с импорта new
товар с импорта 9|1|самуснг|дескрипшн|вендор код|220.0|260.0|с импорта new1
товар с импорта 10|0|самуснг|дескрипшн|вендор код|220.0|260.0|с импорта new2
digital file|0||||120.0|0.0|digit
Пылесос без мешка BOSCH BGS1K330|0|Bosch|||3199.0|4499.0|Пылесосы для сухой уборки
Машинка для стрижки волос PHILIPS QC5115/15|0|Philips|||699.0|839.0|Машинки для стрижки
Кофемашина KRUPS Evidence One EA895N10|0|Krups|||19999.0|33999.0|Кофеварки
Хлебопечка PANASONIC SD-ZB2502BTS|0|Panasonic|||5699.0|6399.0|Хлебопечки
Робот-пылесос ROWENTA Explorer Serie 80 RR7755|0|Rowenta|||11999.0|12999.0|Роботы-пылесосы
Триммер универсальный PHILIPS Series 3000 MG3740/15|0|Philips|||999.0|1099.0|Триммеры
Набор электрических зубных щеток PHILIPS Sonicare DiamondClean HX9392/39|0|Philips|||9399.0|12599.0|Зубные щетки и ирригаторы
Фотоэпилятор PHILIPS Lumea Advanced SC1997/00|0|Philips|||7599.0|9499.0|Фотоэпиляторы
Фен PHILIPS ThermoProtect Ionic HP8233/00|0|Philips|||1199.0|1199.0|Фены
Блендер TEFAL INFINY FORCE 3IN1 HB943838|0|Tefal|||1899.0|2399.0|Блендеры
Пульсоксиметр iMDK C101A2 Black|0|IMDK|||699.0|1099.0|Пульсоксиметры
Весы напольные RZTK BS 200B|0|RZTK|||299.0|349.0|Весы напольные
Фильтр для воды и против накипи Philips CA6903/10|0|Philips|||549.0|549.0|Аксессуары для кофеварок и кофемашин
Электробритва PHILIPS Series 5000 S5250/06|0|Philips|||2399.0|2999.0|Электробритвы
Щипцы для волос PHILIPS StraightCare BHS674/00|0|Philips|||1299.0|1299.0|Приборы для укладки волос
Миксер RZTK M 403|0|RZTK|||619.0|795.0|Миксеры
Пароварка TEFAL VC140131|0|Tefal|||1449.0|0.0|Пароварки
Утюг RZTK V3 Blade|0|RZTK|||479.0|545.0|Утюги и гладильные системы
Кухонная машина KENWOOD Chef KVC3170S|0|Kenwood|||11999.0|13999.0|Кухонные комбайны
Швейная машина JANOME Dress Code|0|Janome|||4999.0|5670.0|Швейные машинки
Мультимейкер RZTK SM 856A|0|RZTK|||1099.0|1099.0|Бутербродницы и вафельницы
Эпилятор PHILIPS Satinelle Essential BRE255/00|0|Philips|||799.0|999.0|Эпиляторы
Электрическая печь DEX DTO-450C|0|Dex|||2999.0|3349.0|Электрические печи
Ингалятор OMRON NE-C101 ESSENTIAL (NE-C101-E)|0|Omron|||1049.0|1192.0|Ингаляторы
Электрочайник TEFAL KO151130|0|Tefal|||659.0|849.0|Электрочайники
Тостер RZTK TSR 852|0|RZTK|||399.0|499.0|Тостеры
Кофемолка RZTK CG 256R|0|RZTK|||499.0|595.0|Кофемолки
Электропростынь BEURER TS 15|0|Beurer|||1699.0|0.0|Электропростыни
Щипцы для волос PHILIPS StraightCare Essential BHS375/00|0|Philips|||649.0|649.0|Приборы для укладки волос
Сушилка для овощей и фруктов DEX DFD-395S с металлическими лотками|0|Dex|||3999.0|4399.0|Сушилки для овощей и фруктов
Фритюрница CLATRONIC FFR2916|0|Clatronic|||1049.0|1049.0|Фритюрницы
Кислородная канюля Hitec Medical HTA0704 (Стандарт/2.1м)|0|Hitec Medical|||49.0|0.0|Запчасти и комплектующие к медтехнике
Кислородный концентратор Konsung KSOC-5 (5L)|0|Konsung|||16989.0|24999.0|Аппараты для дыхания и кислородной терапии
Блинница TEFAL PY900|0|Tefal|||3999.0|4699.0|Блинницы
Кислородная маска с трубкой Hitec Medical HTA0104 (Стандарт/2.5м)|0|Hitec Medical|||249.0|299.0|Запчасти и комплектующие к медтехнике
Электросушилка для обуви ДОМОВЕНОК Комфорт ЕС 12/220 с обработкой озоном|0|Домовенок|||440.0|499.0|Сушилки для обуви
Бесконтактный инфракрасный термометр Healthkeep CQ1201|0|Healthkeep|||899.0|1999.0|Термометры для тела
Электронный шагомер TFA Hitrax Walk (422003)|0|TFA|||326.0|449.0|Шагомеры
Кулер для воды HotFrost V1950N|0|HotFrost|||5180.0|5999.0|Кулеры для воды
